
 STORAGE COMPLETE FOR    120 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL     5 UZ        UZ         0.000       2.000      0.5000E-001  1.000     
   3 ESOL     1 S    Z    SZ       -0.1369E-007  2.000       526.9       1.000     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
   0.16667E-01  0.833333E-003  54.1441     
   0.33333E-01  0.166667E-002  108.243     
   0.50000E-01  0.250000E-002  162.297     
   0.66667E-01  0.333333E-002  216.306     
   0.83333E-01  0.416667E-002  270.271     
   0.10000      0.500000E-002  324.190     
   0.11667      0.583333E-002  378.065     
   0.13333      0.666667E-002  431.895     
   0.15000      0.750000E-002  465.473     
   0.16667      0.833333E-002  466.702     
   0.18333      0.916667E-002  467.931     
   0.20000      0.100000E-001  469.158     
   0.21667      0.108333E-001  470.384     
   0.23333      0.116667E-001  471.610     
   0.25000      0.125000E-001  472.834     
   0.26667      0.133333E-001  474.057     
   0.28333      0.141667E-001  475.280     
   0.30000      0.150000E-001  476.501     
   0.31667      0.158333E-001  477.721     
   0.33333      0.166667E-001  478.941     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
   0.35000      0.175000E-001  480.159     
   0.36667      0.183333E-001  481.376     
   0.38333      0.191667E-001  482.593     
   0.40000      0.200000E-001  483.808     
   0.41667      0.208333E-001  485.022     
   0.43333      0.216667E-001  486.235     
   0.45000      0.225000E-001  487.448     
   0.46667      0.233333E-001  488.659     
   0.48333      0.241667E-001  489.870     
   0.50000      0.250000E-001  491.079     
   0.51667      0.258333E-001  492.287     
   0.53333      0.266667E-001  493.495     
   0.55000      0.275000E-001  494.701     
   0.56667      0.283333E-001  495.907     
   0.58333      0.291667E-001  497.111     
   0.60000      0.300000E-001  498.315     
   0.61667      0.308333E-001  499.517     
   0.63333      0.316667E-001  500.719     
   0.65000      0.325000E-001  501.919     
   0.66667      0.333333E-001  503.119     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
   0.68333      0.341667E-001  504.318     
   0.70000      0.350000E-001  505.515     
   0.71667      0.358333E-001  506.712     
   0.73333      0.366667E-001  507.908     
   0.75000      0.375000E-001  509.102     
   0.76667      0.383333E-001  510.296     
   0.78333      0.391667E-001  511.489     
   0.80000      0.400000E-001  512.681     
   0.81667      0.408333E-001  513.872     
   0.83333      0.416667E-001  515.062     
   0.85000      0.425000E-001  516.251     
   0.86667      0.433333E-001  517.439     
   0.88333      0.441667E-001  518.626     
   0.90000      0.450000E-001  519.813     
   0.91667      0.458333E-001  520.998     
   0.93333      0.466667E-001  522.182     
   0.95000      0.475000E-001  523.366     
   0.96667      0.483333E-001  524.548     
   0.98333      0.491667E-001  525.730     
    1.0000      0.500000E-001  526.910     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
    1.0167      0.491667E-001  475.302     
    1.0333      0.483333E-001  423.654     
    1.0500      0.475000E-001  371.964     
    1.0667      0.466667E-001  320.233     
    1.0833      0.458333E-001  268.461     
    1.1000      0.450000E-001  226.846     
    1.1167      0.441667E-001  226.073     
    1.1333      0.433333E-001  225.300     
    1.1500      0.425000E-001  224.526     
    1.1667      0.416667E-001  223.751     
    1.1833      0.408333E-001  222.976     
    1.2000      0.400000E-001  222.200     
    1.2167      0.391667E-001  221.424     
    1.2333      0.383333E-001  220.647     
    1.2500      0.375000E-001  219.869     
    1.2667      0.366667E-001  219.091     
    1.2833      0.358333E-001  218.312     
    1.3000      0.350000E-001  217.533     
    1.3167      0.341667E-001  216.753     
    1.3333      0.333333E-001  215.972     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
    1.3500      0.325000E-001  215.190     
    1.3667      0.316667E-001  214.408     
    1.3833      0.308333E-001  213.626     
    1.4000      0.300000E-001  212.842     
    1.4167      0.291667E-001  212.059     
    1.4333      0.283333E-001  211.274     
    1.4500      0.275000E-001  210.489     
    1.4667      0.266667E-001  209.703     
    1.4833      0.258333E-001  208.917     
    1.5000      0.250000E-001  208.129     
    1.5167      0.241667E-001  207.342     
    1.5333      0.233333E-001  206.553     
    1.5500      0.225000E-001  205.764     
    1.5667      0.216667E-001  204.975     
    1.5833      0.208333E-001  204.184     
    1.6000      0.200000E-001  203.393     
    1.6167      0.191667E-001  202.602     
    1.6333      0.183333E-001  201.809     
    1.6500      0.175000E-001  201.016     
    1.6667      0.166667E-001  200.223     

          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME          5 UZ          1 S   Z   
                  UZ            SZ      
    1.6833      0.158333E-001  199.429     
    1.7000      0.150000E-001  198.634     
    1.7167      0.141667E-001  197.838     
    1.7333      0.133333E-001  197.042     
    1.7500      0.125000E-001  196.245     
    1.7667      0.116667E-001  195.448     
    1.7833      0.108333E-001  194.650     
    1.8000      0.100000E-001  193.851     
    1.8167      0.916667E-002  193.051     
    1.8333      0.833333E-002  192.251     
    1.8500      0.750000E-002  191.451     
    1.8667      0.666667E-002  190.649     
    1.8833      0.583333E-002  189.847     
    1.9000      0.500000E-002  189.044     
    1.9167      0.416667E-002  188.241     
    1.9333      0.333333E-002  187.437     
    1.9500      0.250000E-002  162.297     
    1.9667      0.166667E-002  108.243     
    1.9833      0.833333E-003  54.1441     
    2.0000       0.00000     -0.136945E-007
