name,family,converged,reached_time,retries,max_attempts,f_metal,K_radial_2D,K_radial_3D,eps_a_max_2D,eps_a_max_3D,eps_a_p99_2D,A_over_lim_2D,A_over_lim_3D,eps_etable_over_nodal
s6_cell00,crown,True,4.0,1,2,0.21337890625,44.73085596589811,8.496297004700967,0.023969008351519924,0.03273604034,0.013715386014682657,0.1793937339322541,0.123783791231863,0.8864516363009725
s6_cell01,crown,True,4.0,1,2,0.2880859375,48.13140872837708,18.78283984709808,0.0653538092475883,0.05464438331,0.04052502013711988,0.5660493827160495,0.5867342887365763,0.7932362950634145
s6_cell02,crown,True,4.0,5,3,0.3525390625,57.83764753169209,39.002464726249855,0.10117052401930954,0.07862177313,0.052103629181600934,0.8966733353852469,0.747616175578222,0.8319594747305918
s6_cell03,crown,True,4.0,0,1,0.2060546875,25.246602141903978,19.35324431000585,0.022356639419462473,0.02907016529,0.013253879283184462,0.18214996196828737,0.1313359471251671,0.9126748444246934
s6_cell04,crown,True,4.0,3,2,0.2890625,32.058345051387015,14.989979618995298,0.06378388376510691,0.04739505886,0.0409033538712327,0.6154279279279279,0.5575545210454311,0.8466865251090736
s6_cell05,crown,True,4.0,0,1,0.36181640625,34.8418749205258,16.58474428816261,0.10176825148962451,0.05775485082,0.048580183090628906,0.9000266573365988,0.6622346707475053,0.7475727735730984
s6_cell06,crown,True,4.0,0,1,0.2197265625,21.233106313681983,15.477870778279023,0.025175713262832626,0.03322124754,0.014361912582804353,0.20713305898491086,0.14870210872437775,0.8750080658064483
s6_cell07,crown,True,4.0,1,2,0.2890625,20.487663841047247,13.189346157341388,0.06610448634948504,0.07175557169,0.03927429734825599,0.6833083083083084,0.5428750777549765,0.7609844757047145
s6_cell08,crown,True,4.0,0,1,0.3671875,23.528412987248142,18.907225753518556,0.09530623911832725,0.06774460192,0.047748194971226135,0.9010539795114262,0.6742006092192193,0.8024191351404902
s6_cell09,crown,True,4.0,0,1,0.20654296875,12.50558013615855,8.879626345001759,0.02220816137898272,0.0303734463,0.013017806312931018,0.20252896710737528,0.14347724193582184,0.870923356675682
s6_cell10,crown,True,4.0,3,2,0.30078125,15.37396075308227,8.551517855320919,0.06615760162760217,0.05395566148,0.038928909001342535,0.7278539361872696,0.5331823245013915,0.7496352295490093
s6_cell11,crown,True,4.0,2,2,0.3759765625,14.193885416971048,11.421470413337236,0.09416281101436814,0.04864276396,0.04920098298653801,0.8981882315215648,0.603418624018691,0.8880120665418275
s6_cell12,crown,True,4.0,0,1,0.20947265625,9.514502998185852,6.5788817851657,0.024174649843612186,0.0314198682,0.013047158050029928,0.2108765719876831,0.14440223177839537,0.863543454067629
s6_cell13,crown,True,4.0,4,2,0.298828125,10.535661354230623,6.296469344398031,0.062079866430798436,0.05576528711,0.036641734976366386,0.7291817961752602,0.5348005276692841,0.7617078063731625
s6_cell14,crown,True,4.0,1,2,0.390625,11.588834694175127,9.315852007706305,0.09169128959051295,0.05212534052,0.04821727249181435,0.8959953703703704,0.5826752802434724,0.7922352932116787
s6_cell15,crown,True,4.0,0,1,0.20703125,7.384422334467184,4.881537233766116,0.021560094920788433,0.02865828273,0.012966854447582613,0.20259725133938974,0.1429308289904288,0.8616429704925986
s6_cell16,crown,True,4.0,6,2,0.310546875,8.444957080050932,5.698254803102581,0.06077189920944395,0.04698750534,0.03581569090771142,0.7586963273546083,0.5457400610997574,0.8256580381403505
s6_cell17,crown,True,4.0,5,2,0.4091796875,9.034282283836571,5.1520666820635235,0.0880754194198847,0.05450246285,0.048343954734409875,0.8926677273932644,0.9076960102320755,0.8161355404934746
s6_cell18,crown,True,4.0,0,1,0.240234375,71.19267719664725,13.118485966672322,0.02683950380921819,0.03342141083,0.015548355145349918,0.22524590986650606,0.15396934624214298,0.9026303711047008
