name,seconds,converged,reached_time,retries,max_attempts
s6_cell00,168.87,True,4.0,1,2
s6_cell01,493.294,True,4.0,1,2
s6_cell02,965.736,True,4.0,5,3
s6_cell03,147.201,True,4.0,0,1
s6_cell04,491.377,True,4.0,3,2
s6_cell05,,False,1.215,0,1
s6_cell06,140.844,True,4.0,0,1
s6_cell07,434.666,True,4.0,1,2
s6_cell08,410.543,False,3.0125,7,3
s6_cell09,78.46,True,4.0,0,1
s6_cell10,251.953,True,4.0,3,2
s6_cell11,327.691,False,3.2691,8,2
s6_cell12,78.785,True,4.0,0,1
s6_cell13,263.63,True,4.0,4,2
s6_cell14,258.656,False,3.0162,5,3
s6_cell15,74.135,True,4.0,0,1
s6_cell16,284.18,True,4.0,6,2
s6_cell17,479.1,True,4.0,5,2
s6_cell18,106.407,True,4.0,0,1
s6_cell19,275.819,True,4.0,4,2
s6_cell20,261.612,True,4.0,3,2
s6_cell21,354.72,True,4.0,5,3
s6_cell22,102.44,True,4.0,0,1
s6_cell23,99.019,True,4.0,0,1
s6_cell24,320.013,True,4.0,5,2
s6_cell25,380.937,False,3.3681,9,3
s6_cell26,77.856,False,2.1,0,1
s6_cell27,287.484,True,4.0,4,2
s6_cell28,360.803,True,4.0,5,2
s6_cell29,603.439,True,4.0,4,2
s6_cell30,124.617,True,4.0,0,1
s6_cell31,428.991,True,4.0,2,2
s6_cell32,334.397,False,2.6145,5,3
s6_cell33,116.97,True,4.0,1,2
s6_cell34,275.415,False,2.9268,8,3
s6_cell35,106.956,True,4.0,0,1
s6_cell36,164.5,True,4.0,1,2
s6_cell37,461.377,True,4.0,1,2
s6_cell38,463.6,True,4.0,1,2
s6_cell39,145.551,True,4.0,1,2
s6_cell40,148.639,True,4.0,1,2
s6_cell41,477.337,True,4.0,2,2
s6_cell42,460.356,True,4.0,2,2
s6_cell43,298.191,False,2.9465,2,4
s6_cell44,259.556,True,4.0,1,2
s6_cell45,1059.438,True,4.0,4,2
s6_cell46,231.377,True,4.0,1,2
s6_cell47,285.787,False,2.7967,2,5
s6_cell48,175.241,True,4.0,0,1
s6_cell49,575.368,True,4.0,1,2
s6_cell50,247.492,True,4.0,0,1
s6_cell51,926.589,True,4.0,14,3
s6_cell52,416.059,True,4.0,0,1
s6_cell53,330.276,True,4.0,1,2
s6_hand00,150.323,True,4.0,0,1
s6_hand01,248.651,True,4.0,1,2
s6_hand02,415.916,True,4.0,2,2
s6_hand03,164.717,False,2.6697,4,3
s6_hand04,280.097,False,2.6734,6,2
s6_ref,113.758,True,4.0,0,1
